utility,measure_date,sars,new_cases_utility,new_hosp_utility,county_names,population_served,capacity_mgd,lpha1,lpha2,lpha3,pcr_target,activation_start,activation_end,public_repository,Surv_System,participation_status,classification,slope,p_val
Utility1,2024-06-27,7105453,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,NA,NA,NA
Utility1,2024-07-01,3892158,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,NA,-0.015675138457317012,NA
Utility1,2024-07-08,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.013960697709644752,0.04506181694567728
Utility1,2024-07-11,1025624,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.01297222811591645,0.0030855445050616158
Utility1,2024-07-15,3740888,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.009728811588222811,0.014806785394516348
Utility1,2024-07-18,5203902,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.006128735106539708,0.06510043200062002
Utility1,2024-07-29,6432764,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,7.93306151278623e-4,0.7036505836488393
Utility1,2024-08-01,1574739,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0012215502856451224,0.710394086232923
Utility1,2024-08-05,3075596,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.005000538950492449,0.1608298867792209
Utility1,2024-08-08,5550363,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.005563842523551528,0.10567745733197745
Utility1,2024-08-12,3846328,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.004085284830056702,0.1907795708056648
Utility1,2024-08-15,3912606,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0038836212448586506,0.07130383306857871
Utility1,2024-08-19,4882987,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.004355166905933365,0.013166002289419707
Utility1,2024-08-22,1523311,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00562529819199445,0.023868912482101302
Utility1,2024-08-26,2123655,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.0079287676312257,0.004046211232587731
Utility1,2024-08-29,4719485,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.008343691198999467,0.001886387564302892
Utility1,2024-09-03,2342599,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.007378114877262786,0.023780958863014873
Utility1,2024-09-09,2014306,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.004724069947091412,0.06832348089843537
Utility1,2024-09-12,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,5.546101770219836e-4,0.738856605565039
Utility1,2024-09-16,3721322,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.003914898503381917,0.14079908419264683
Utility1,2024-09-23,4288204,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.010277970742195632,0.0059694872628649415
Utility1,2024-09-26,3688552,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.010846739468488218,0.0026204303050255534
Utility1,2024-09-30,5646713,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.010830393794492351,1.4264376023217333e-4
Utility1,2024-10-03,5758746,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.007854560066687643,0.0036505889102658694
Utility1,2024-10-14,4134539,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.0014393959699510693,0.6483288952616151
Utility1,2024-10-17,1648255,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.005470938806128092,0.20838095025813777
Utility1,2024-10-21,3325758,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.009529320865657644,0.006229318933184424
Utility1,2024-10-24,5436598,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.00640205691022436,0.08567745430057201
Utility1,2024-10-28,1951953,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.003933000857099171,0.14653639562389964
Utility1,2024-10-31,5457010,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0029856724974617124,0.10513946924154256
Utility1,2024-11-04,514232,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.003138218013517993,0.027123852325350098
Utility1,2024-11-07,6532530,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0015472285759688242,0.06704272631394746
Utility1,2024-11-12,3877039,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.0037683645058005193,0.024386791005501004
Utility1,2024-11-14,1347870,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00621393067312089,0.01164919322910976
Utility1,2024-11-18,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.007677400656605763,0.0056800398342334866
Utility1,2024-11-21,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00884667034565428,0.001126694245142042
Utility1,2024-11-25,600,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.007985667573747465,0.003646201042501941
Utility1,2024-12-02,2492436,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.003566477971293786,0.18351534756480345
Utility1,2024-12-05,663343,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.001024034023818664,0.31609377716208514
Utility1,2024-12-09,31864,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.004706180665891362,0.03517951988322363
Utility1,2024-12-12,5679568,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.009559446773911812,0.011165950090121326
Utility1,2024-12-16,4737100,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.012768653650010163,0.0015555751136322145
Utility1,2024-12-19,7293447,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.013173139255861216,9.528813065486176e-4
Utility1,2024-12-26,4949749,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.008685820802311133,0.06446068420785377
Utility1,2024-12-30,1436009,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0011394217287442618,0.8164490793979243
Utility1,2025-01-02,414315,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.009773163187395361,0.04266403045093626
Utility1,2025-01-06,675125,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.01269231661788907,0.004033204825273105
Utility1,2025-01-09,6820288,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.009084626429473311,0.0695286211758779
Utility1,2025-01-13,1796853,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.003475668093465517,0.34620566529626756
Utility1,2025-01-16,6419753,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0013078232499651498,0.6390909436332037
Utility1,2025-01-21,6023581,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.003925405300514604,0.03631592728289967
Utility1,2025-01-23,1626174,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,9.91164063245701e-4,0.6270936441759789
Utility1,2025-01-27,1905034,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.001880394665540839,0.3969906751795724
Utility1,2025-01-30,2957956,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.00400727354150375,0.035442441654657465
Utility1,2025-02-06,578786,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Decreasing,-0.005633528456551618,0.024646675169106264
Utility1,2025-02-10,382555,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,-0.0025872279979168274,0.23572930078925497
Utility1,2025-02-13,436455,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.003128513387051224,0.1360009308144392
Utility1,2025-02-18,3880909,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Plateau,0.012292045529209218,0.05444078641059231
Utility1,2025-02-20,1624805,NA,NA,County1,18838,2.775,First County,NA,NA,sars-cov-2,2022-02-24,NA,Publish,SSS,Active,Increasing,0.015148146437550036,0.008073486335975271
