"","utility","pcr_target","measure_date","week","ND_flag","detection_status"
"1","Utility1","FLUAV",2025-09-02,0,"No Detection","No recent detection"
"2","Utility1","FLUBV",2025-09-02,0,"No Detection","No recent detection"
"3","Utility1","H1",2025-09-02,0,"No Detection","No recent data"
"4","Utility1","H3",2025-09-02,0,"No Detection","No recent data"
"5","Utility1","H5",2025-09-02,0,"No Detection","No recent detection"
"6","Utility1","PanRSV",2025-09-02,0,"No Detection","No recent detection"
"7","Utility1","sars-cov-2",2025-09-02,0,"Detection","Persistent detection"
"8","Utility2","FLUAV",2025-09-02,0,"No Detection","No recent detection"
"9","Utility2","FLUBV",2025-09-02,0,"No Detection","No recent detection"
"10","Utility2","H1",2025-09-02,0,"No Detection","No recent data"
"11","Utility2","H3",2025-09-02,0,"No Detection","No recent data"
"12","Utility2","H5",2025-09-02,0,"No Detection","No recent detection"
"13","Utility2","PanRSV",2025-09-02,0,"No Detection","No recent detection"
"14","Utility2","sars-cov-2",2025-09-02,0,"Detection","Persistent detection"
"15","Utility3","FLUAV",2025-09-02,0,"No Detection","No recent detection"
"16","Utility3","FLUBV",2025-09-02,0,"No Detection","No recent detection"
"17","Utility3","H1",2025-09-02,0,"No Detection","No recent data"
"18","Utility3","H3",2025-09-02,0,"No Detection","No recent data"
"19","Utility3","H5",2025-09-02,0,"No Detection","No recent detection"
"20","Utility3","PanRSV",2025-09-02,0,"No Detection","No recent detection"
"21","Utility3","sars-cov-2",2025-09-02,0,"Detection","Persistent detection"
"22","Utility5","FLUAV",2025-09-02,0,"No Detection","No recent detection"
"23","Utility5","FLUBV",2025-09-02,0,"No Detection","No recent detection"
"24","Utility5","H1",2025-09-02,0,"No Detection","No recent data"
"25","Utility5","H3",2025-09-02,0,"No Detection","No recent data"
"26","Utility5","H5",2025-09-02,0,"No Detection","No recent detection"
"27","Utility5","PanRSV",2025-09-02,0,"No Detection","No recent detection"
"28","Utility5","sars-cov-2",2025-09-02,0,"Detection","Persistent detection"
"29","Utility1","FLUAV",2025-08-28,1,"No Detection","No recent detection"
"30","Utility1","FLUBV",2025-08-28,1,"No Detection","No recent detection"
"31","Utility1","H5",2025-08-28,1,"No Detection","No recent detection"
"32","Utility1","PanRSV",2025-08-28,1,"No Detection","No recent detection"
"33","Utility1","sars-cov-2",2025-08-28,1,"Detection","Persistent detection"
"34","Utility2","FLUAV",2025-08-28,1,"No Detection","No recent detection"
"35","Utility2","FLUBV",2025-08-28,1,"No Detection","No recent detection"
"36","Utility2","H5",2025-08-28,1,"No Detection","No recent detection"
"37","Utility2","PanRSV",2025-08-28,1,"No Detection","No recent detection"
"38","Utility2","sars-cov-2",2025-08-28,1,"Detection","Persistent detection"
"39","Utility3","FLUAV",2025-08-28,1,"No Detection","No recent detection"
"40","Utility3","FLUBV",2025-08-28,1,"No Detection","No recent detection"
"41","Utility3","H5",2025-08-28,1,"No Detection","No recent detection"
"42","Utility3","PanRSV",2025-08-28,1,"No Detection","No recent detection"
"43","Utility3","sars-cov-2",2025-08-28,1,"Detection","Persistent detection"
"44","Utility5","FLUAV",2025-08-28,1,"No Detection","No recent detection"
"45","Utility5","FLUBV",2025-08-28,1,"No Detection","No recent detection"
"46","Utility5","H5",2025-08-28,1,"No Detection","No recent detection"
"47","Utility5","PanRSV",2025-08-28,1,"No Detection","No recent detection"
"48","Utility5","sars-cov-2",2025-08-28,1,"Detection","Persistent detection"
"49","Utility4","FLUAV",2025-08-27,1,"No Detection","No recent detection"
"50","Utility4","FLUBV",2025-08-27,1,"No Detection","No recent detection"
"51","Utility4","H5",2025-08-27,1,"No Detection","No recent detection"
"52","Utility4","PanRSV",2025-08-27,1,"No Detection","No recent detection"
"53","Utility4","sars-cov-2",2025-08-27,1,"Detection","Persistent detection"
"54","Utility4","FLUAV",2025-08-26,1,"No Detection","No recent detection"
"55","Utility4","FLUBV",2025-08-26,1,"No Detection","No recent detection"
"56","Utility4","H5",2025-08-26,1,"No Detection","No recent detection"
"57","Utility4","PanRSV",2025-08-26,1,"No Detection","No recent detection"
"58","Utility4","sars-cov-2",2025-08-26,1,"Detection","Persistent detection"
"59","Utility1","FLUAV",2025-08-25,1,"No Detection","No recent detection"
"60","Utility1","FLUBV",2025-08-25,1,"No Detection","No recent detection"
"61","Utility1","H5",2025-08-25,1,"No Detection","No recent detection"
"62","Utility1","PanRSV",2025-08-25,1,"No Detection","No recent detection"
"63","Utility1","sars-cov-2",2025-08-25,1,"Detection","Persistent detection"
"64","Utility2","FLUAV",2025-08-25,1,"No Detection","No recent detection"
"65","Utility2","FLUBV",2025-08-25,1,"No Detection","No recent detection"
"66","Utility2","H5",2025-08-25,1,"No Detection","No recent detection"
"67","Utility2","PanRSV",2025-08-25,1,"No Detection","No recent detection"
"68","Utility2","sars-cov-2",2025-08-25,1,"Detection","Persistent detection"
"69","Utility3","FLUAV",2025-08-25,1,"No Detection","No recent detection"
"70","Utility3","FLUBV",2025-08-25,1,"No Detection","No recent detection"
"71","Utility3","H5",2025-08-25,1,"No Detection","No recent detection"
"72","Utility3","PanRSV",2025-08-25,1,"No Detection","No recent detection"
"73","Utility3","sars-cov-2",2025-08-25,1,"Detection","Persistent detection"
"74","Utility4","FLUAV",2025-08-25,1,"No Detection","No recent detection"
"75","Utility4","FLUBV",2025-08-25,1,"No Detection","No recent detection"
"76","Utility4","H5",2025-08-25,1,"No Detection","No recent detection"
"77","Utility4","PanRSV",2025-08-25,1,"No Detection","No recent detection"
"78","Utility4","sars-cov-2",2025-08-25,1,"Detection","Persistent detection"
"79","Utility5","FLUAV",2025-08-25,1,"No Detection","No recent detection"
"80","Utility5","FLUBV",2025-08-25,1,"No Detection","No recent detection"
"81","Utility5","H5",2025-08-25,1,"No Detection","No recent detection"
"82","Utility5","PanRSV",2025-08-25,1,"No Detection","No recent detection"
"83","Utility5","sars-cov-2",2025-08-25,1,"No Detection","Persistent detection"
"84","Utility1","FLUAV",2025-08-21,2,"No Detection","No recent detection"
"85","Utility1","FLUBV",2025-08-21,2,"No Detection","No recent detection"
"86","Utility1","H5",2025-08-21,2,"No Detection","No recent detection"
"87","Utility1","PanRSV",2025-08-21,2,"No Detection","No recent detection"
"88","Utility1","sars-cov-2",2025-08-21,2,"Detection","Persistent detection"
"89","Utility2","FLUAV",2025-08-21,2,"No Detection","No recent detection"
"90","Utility2","FLUBV",2025-08-21,2,"No Detection","No recent detection"
"91","Utility2","H5",2025-08-21,2,"No Detection","No recent detection"
"92","Utility2","PanRSV",2025-08-21,2,"No Detection","No recent detection"
"93","Utility2","sars-cov-2",2025-08-21,2,"Detection","Persistent detection"
"94","Utility3","FLUAV",2025-08-21,2,"No Detection","No recent detection"
"95","Utility3","FLUBV",2025-08-21,2,"No Detection","No recent detection"
"96","Utility3","H5",2025-08-21,2,"No Detection","No recent detection"
"97","Utility3","PanRSV",2025-08-21,2,"No Detection","No recent detection"
"98","Utility3","sars-cov-2",2025-08-21,2,"Detection","Persistent detection"
"99","Utility5","FLUAV",2025-08-21,2,"No Detection","No recent detection"
"100","Utility5","FLUBV",2025-08-21,2,"No Detection","No recent detection"
"101","Utility5","H5",2025-08-21,2,"No Detection","No recent detection"
"102","Utility5","PanRSV",2025-08-21,2,"No Detection","No recent detection"
"103","Utility5","sars-cov-2",2025-08-21,2,"Detection","Persistent detection"
"104","Utility4","FLUAV",2025-08-20,2,"No Detection","No recent detection"
"105","Utility4","FLUBV",2025-08-20,2,"No Detection","No recent detection"
"106","Utility4","H5",2025-08-20,2,"No Detection","No recent detection"
"107","Utility4","PanRSV",2025-08-20,2,"No Detection","No recent detection"
"108","Utility4","sars-cov-2",2025-08-20,2,"Detection","Persistent detection"
"109","Utility1","FLUAV",2025-08-18,2,"No Detection","No recent detection"
"110","Utility1","FLUBV",2025-08-18,2,"No Detection","No recent detection"
"111","Utility1","H5",2025-08-18,2,"No Detection","No recent detection"
"112","Utility1","PanRSV",2025-08-18,2,"No Detection","No recent detection"
"113","Utility1","sars-cov-2",2025-08-18,2,"Detection","Persistent detection"
"114","Utility2","FLUAV",2025-08-18,2,"No Detection","No recent detection"
"115","Utility2","FLUBV",2025-08-18,2,"No Detection","No recent detection"
"116","Utility2","H5",2025-08-18,2,"No Detection","No recent detection"
"117","Utility2","PanRSV",2025-08-18,2,"No Detection","No recent detection"
"118","Utility2","sars-cov-2",2025-08-18,2,"Detection","Persistent detection"
"119","Utility3","FLUAV",2025-08-18,2,"No Detection","No recent detection"
"120","Utility3","FLUBV",2025-08-18,2,"No Detection","No recent detection"
"121","Utility3","H5",2025-08-18,2,"No Detection","No recent detection"
"122","Utility3","PanRSV",2025-08-18,2,"No Detection","No recent detection"
"123","Utility3","sars-cov-2",2025-08-18,2,"Detection","Persistent detection"
"124","Utility4","FLUAV",2025-08-18,2,"No Detection","No recent detection"
"125","Utility4","FLUBV",2025-08-18,2,"No Detection","No recent detection"
"126","Utility4","H5",2025-08-18,2,"No Detection","No recent detection"
"127","Utility4","PanRSV",2025-08-18,2,"No Detection","No recent detection"
"128","Utility4","sars-cov-2",2025-08-18,2,"Detection","Persistent detection"
"129","Utility5","FLUAV",2025-08-18,2,"No Detection","No recent detection"
"130","Utility5","FLUBV",2025-08-18,2,"No Detection","No recent detection"
"131","Utility5","H5",2025-08-18,2,"No Detection","No recent detection"
"132","Utility5","PanRSV",2025-08-18,2,"No Detection","No recent detection"
"133","Utility5","sars-cov-2",2025-08-18,2,"Detection","Persistent detection"
"134","Utility1","FLUAV",2025-08-14,3,"No Detection","No recent detection"
"135","Utility1","FLUBV",2025-08-14,3,"No Detection","No recent detection"
"136","Utility1","H5",2025-08-14,3,"No Detection","No recent detection"
"137","Utility1","PanRSV",2025-08-14,3,"No Detection","No recent detection"
"138","Utility1","sars-cov-2",2025-08-14,3,"Detection","Persistent detection"
"139","Utility2","FLUAV",2025-08-14,3,"No Detection","No recent detection"
"140","Utility2","FLUBV",2025-08-14,3,"No Detection","No recent detection"
"141","Utility2","H5",2025-08-14,3,"No Detection","No recent detection"
"142","Utility2","PanRSV",2025-08-14,3,"No Detection","No recent detection"
"143","Utility2","sars-cov-2",2025-08-14,3,"Detection","Persistent detection"
"144","Utility3","FLUAV",2025-08-14,3,"No Detection","No recent detection"
"145","Utility3","FLUBV",2025-08-14,3,"No Detection","No recent detection"
"146","Utility3","H5",2025-08-14,3,"No Detection","No recent detection"
"147","Utility3","PanRSV",2025-08-14,3,"No Detection","No recent detection"
"148","Utility3","sars-cov-2",2025-08-14,3,"No Detection","Persistent detection"
"149","Utility5","FLUAV",2025-08-14,3,"No Detection","No recent detection"
"150","Utility5","FLUBV",2025-08-14,3,"No Detection","No recent detection"
"151","Utility5","H5",2025-08-14,3,"No Detection","No recent detection"
"152","Utility5","PanRSV",2025-08-14,3,"No Detection","No recent detection"
"153","Utility5","sars-cov-2",2025-08-14,3,"Detection","Persistent detection"
"154","Utility4","FLUAV",2025-08-13,3,"No Detection","No recent detection"
"155","Utility4","FLUBV",2025-08-13,3,"No Detection","No recent detection"
"156","Utility4","H5",2025-08-13,3,"No Detection","No recent detection"
"157","Utility4","PanRSV",2025-08-13,3,"No Detection","No recent detection"
"158","Utility4","sars-cov-2",2025-08-13,3,"Detection","Persistent detection"
"159","Utility1","FLUAV",2025-08-11,3,"No Detection","No recent detection"
"160","Utility1","FLUBV",2025-08-11,3,"No Detection","No recent detection"
"161","Utility1","H5",2025-08-11,3,"No Detection","No recent detection"
"162","Utility1","PanRSV",2025-08-11,3,"No Detection","No recent detection"
"163","Utility1","sars-cov-2",2025-08-11,3,"Detection","Persistent detection"
"164","Utility2","FLUAV",2025-08-11,3,"No Detection","No recent detection"
