"","utility","pcr_target","measure_date","week","ND_flag","detection_status"
"1","Utility1","FLUAV",2025-06-26,0,"No Detection","No recent detection"
"2","Utility1","FLUBV",2025-06-26,0,"No Detection","No recent detection"
"3","Utility1","H5",2025-06-26,0,"No Detection","No recent detection"
"4","Utility1","PanRSV",2025-06-26,0,"No Detection","No recent detection"
"5","Utility2","FLUAV",2025-06-26,0,"No Detection","No recent detection"
"6","Utility2","FLUBV",2025-06-26,0,"No Detection","No recent detection"
"7","Utility2","H5",2025-06-26,0,"No Detection","No recent detection"
"8","Utility2","PanRSV",2025-06-26,0,"No Detection","No recent detection"
"9","Utility2","sars-cov-2",2025-06-26,0,"Detection","Persistent detection"
"10","Utility3","FLUAV",2025-06-26,0,"No Detection","No recent detection"
"11","Utility3","FLUBV",2025-06-26,0,"No Detection","No recent detection"
"12","Utility3","H5",2025-06-26,0,"No Detection","No recent detection"
"13","Utility3","PanRSV",2025-06-26,0,"No Detection","No recent detection"
"14","Utility3","sars-cov-2",2025-06-26,0,"No Detection","Detection"
"15","Utility5","FLUAV",2025-06-26,0,"No Detection","No recent detection"
"16","Utility5","FLUBV",2025-06-26,0,"No Detection","No recent detection"
"17","Utility5","H5",2025-06-26,0,"No Detection","No recent detection"
"18","Utility5","PanRSV",2025-06-26,0,"No Detection","No recent detection"
"19","Utility5","sars-cov-2",2025-06-26,0,"Detection","Persistent detection"
"20","Utility1","FLUAV",2025-06-23,0,"No Detection","No recent detection"
"21","Utility1","FLUBV",2025-06-23,0,"No Detection","No recent detection"
"22","Utility1","H5",2025-06-23,0,"No Detection","No recent detection"
"23","Utility1","PanRSV",2025-06-23,0,"No Detection","No recent detection"
"24","Utility1","sars-cov-2",2025-06-23,0,"No Detection","Persistent detection"
"25","Utility2","FLUAV",2025-06-23,0,"No Detection","No recent detection"
"26","Utility2","FLUBV",2025-06-23,0,"No Detection","No recent detection"
"27","Utility2","H5",2025-06-23,0,"No Detection","No recent detection"
"28","Utility2","PanRSV",2025-06-23,0,"No Detection","No recent detection"
"29","Utility2","sars-cov-2",2025-06-23,0,"Detection","Persistent detection"
"30","Utility3","FLUAV",2025-06-23,0,"No Detection","No recent detection"
"31","Utility3","FLUBV",2025-06-23,0,"No Detection","No recent detection"
"32","Utility3","H5",2025-06-23,0,"No Detection","No recent detection"
"33","Utility3","PanRSV",2025-06-23,0,"No Detection","No recent detection"
"34","Utility3","sars-cov-2",2025-06-23,0,"No Detection","Detection"
"35","Utility4","FLUAV",2025-06-23,0,"No Detection","No recent detection"
"36","Utility4","FLUBV",2025-06-23,0,"No Detection","No recent detection"
"37","Utility4","H5",2025-06-23,0,"No Detection","No recent detection"
"38","Utility4","PanRSV",2025-06-23,0,"No Detection","No recent detection"
"39","Utility4","sars-cov-2",2025-06-23,0,"Detection","Detection"
"40","Utility5","FLUAV",2025-06-23,0,"No Detection","No recent detection"
"41","Utility5","FLUBV",2025-06-23,0,"No Detection","No recent detection"
"42","Utility5","H5",2025-06-23,0,"No Detection","No recent detection"
"43","Utility5","PanRSV",2025-06-23,0,"No Detection","No recent detection"
"44","Utility5","sars-cov-2",2025-06-23,0,"Detection","Persistent detection"
"45","Utility1","FLUAV",2025-06-16,1,"No Detection","No recent detection"
"46","Utility1","FLUBV",2025-06-16,1,"No Detection","No recent detection"
"47","Utility1","H5",2025-06-16,1,"No Detection","No recent detection"
"48","Utility1","PanRSV",2025-06-16,1,"No Detection","No recent detection"
"49","Utility1","sars-cov-2",2025-06-16,1,"Detection","Persistent detection"
"50","Utility2","FLUAV",2025-06-16,1,"No Detection","No recent detection"
"51","Utility2","FLUBV",2025-06-16,1,"No Detection","No recent detection"
"52","Utility2","H5",2025-06-16,1,"No Detection","No recent detection"
"53","Utility2","PanRSV",2025-06-16,1,"No Detection","No recent detection"
"54","Utility2","sars-cov-2",2025-06-16,1,"Detection","Persistent detection"
"55","Utility3","FLUAV",2025-06-16,1,"No Detection","No recent detection"
"56","Utility3","FLUBV",2025-06-16,1,"No Detection","No recent detection"
"57","Utility3","H5",2025-06-16,1,"No Detection","No recent detection"
"58","Utility3","PanRSV",2025-06-16,1,"No Detection","No recent detection"
"59","Utility3","sars-cov-2",2025-06-16,1,"Detection","Persistent detection"
"60","Utility4","FLUAV",2025-06-16,1,"No Detection","No recent detection"
"61","Utility4","FLUBV",2025-06-16,1,"No Detection","No recent detection"
"62","Utility4","H5",2025-06-16,1,"No Detection","No recent detection"
"63","Utility4","PanRSV",2025-06-16,1,"No Detection","No recent detection"
"64","Utility4","sars-cov-2",2025-06-16,1,"Detection","Detection"
"65","Utility5","FLUAV",2025-06-16,1,"No Detection","No recent detection"
"66","Utility5","FLUBV",2025-06-16,1,"No Detection","No recent detection"
"67","Utility5","H5",2025-06-16,1,"No Detection","No recent detection"
"68","Utility5","PanRSV",2025-06-16,1,"No Detection","No recent detection"
"69","Utility5","sars-cov-2",2025-06-16,1,"Detection","Persistent detection"
"70","Utility1","FLUAV",2025-06-12,2,"No Detection","No recent detection"
"71","Utility1","FLUBV",2025-06-12,2,"No Detection","No recent detection"
"72","Utility1","H5",2025-06-12,2,"No Detection","No recent detection"
"73","Utility1","PanRSV",2025-06-12,2,"No Detection","No recent detection"
"74","Utility1","sars-cov-2",2025-06-12,2,"Detection","Persistent detection"
"75","Utility2","FLUAV",2025-06-12,2,"No Detection","No recent detection"
"76","Utility2","FLUBV",2025-06-12,2,"No Detection","No recent detection"
"77","Utility2","H5",2025-06-12,2,"No Detection","No recent detection"
"78","Utility2","PanRSV",2025-06-12,2,"No Detection","No recent detection"
"79","Utility2","sars-cov-2",2025-06-12,2,"Detection","Persistent detection"
"80","Utility3","FLUAV",2025-06-12,2,"No Detection","No recent detection"
"81","Utility3","FLUBV",2025-06-12,2,"No Detection","No recent detection"
"82","Utility3","H5",2025-06-12,2,"No Detection","No recent detection"
"83","Utility3","PanRSV",2025-06-12,2,"No Detection","No recent detection"
