"","utility","pcr_target","measure_date","week","ND_flag","detection_status"
"84","Utility3","sars-cov-2",2025-06-12,2,"Detection","Persistent detection"
"85","Utility5","FLUAV",2025-06-12,2,"No Detection","No recent detection"
"86","Utility5","FLUBV",2025-06-12,2,"No Detection","Detection"
"87","Utility5","H5",2025-06-12,2,"No Detection","No recent detection"
"88","Utility5","PanRSV",2025-06-12,2,"No Detection","No recent detection"
"89","Utility5","sars-cov-2",2025-06-12,2,"Detection","Persistent detection"
"90","Utility4","FLUAV",2025-06-11,2,"No Detection","No recent detection"
"91","Utility4","FLUBV",2025-06-11,2,"No Detection","No recent detection"
"92","Utility4","H5",2025-06-11,2,"No Detection","No recent detection"
"93","Utility4","PanRSV",2025-06-11,2,"No Detection","No recent detection"
"94","Utility4","sars-cov-2",2025-06-11,2,"No Detection","No recent detection"
"95","Utility1","FLUAV",2025-06-09,2,"No Detection","No recent detection"
"96","Utility1","FLUBV",2025-06-09,2,"No Detection","No recent detection"
"97","Utility1","H5",2025-06-09,2,"No Detection","No recent detection"
"98","Utility1","PanRSV",2025-06-09,2,"No Detection","No recent detection"
"99","Utility1","sars-cov-2",2025-06-09,2,"Detection","Persistent detection"
"100","Utility2","FLUAV",2025-06-09,2,"No Detection","No recent detection"
"101","Utility2","FLUBV",2025-06-09,2,"No Detection","No recent detection"
"102","Utility2","H5",2025-06-09,2,"No Detection","No recent detection"
"103","Utility2","PanRSV",2025-06-09,2,"No Detection","No recent detection"
"104","Utility2","sars-cov-2",2025-06-09,2,"Detection","Persistent detection"
"105","Utility3","FLUAV",2025-06-09,2,"No Detection","No recent detection"
"106","Utility3","FLUBV",2025-06-09,2,"No Detection","No recent detection"
"107","Utility3","H5",2025-06-09,2,"No Detection","No recent detection"
"108","Utility3","PanRSV",2025-06-09,2,"No Detection","No recent detection"
"109","Utility3","sars-cov-2",2025-06-09,2,"Detection","Persistent detection"
"110","Utility4","H5",2025-06-09,2,"No Detection","No recent detection"
"111","Utility5","FLUAV",2025-06-09,2,"No Detection","No recent detection"
"112","Utility5","FLUBV",2025-06-09,2,"No Detection","Detection"
"113","Utility5","H5",2025-06-09,2,"No Detection","No recent detection"
"114","Utility5","PanRSV",2025-06-09,2,"No Detection","No recent detection"
"115","Utility5","sars-cov-2",2025-06-09,2,"Detection","Persistent detection"
"116","Utility1","FLUAV",2025-06-05,3,"No Detection","No recent detection"
"117","Utility1","FLUBV",2025-06-05,3,"No Detection","No recent detection"
"118","Utility1","H5",2025-06-05,3,"No Detection","No recent detection"
"119","Utility1","PanRSV",2025-06-05,3,"No Detection","No recent detection"
"120","Utility1","sars-cov-2",2025-06-05,3,"Detection","Persistent detection"
"121","Utility2","FLUAV",2025-06-05,3,"No Detection","No recent detection"
"122","Utility2","FLUBV",2025-06-05,3,"No Detection","No recent detection"
"123","Utility2","H5",2025-06-05,3,"No Detection","No recent detection"
"124","Utility2","PanRSV",2025-06-05,3,"No Detection","No recent detection"
"125","Utility2","sars-cov-2",2025-06-05,3,"Detection","Persistent detection"
"126","Utility3","FLUAV",2025-06-05,3,"No Detection","No recent detection"
"127","Utility3","FLUBV",2025-06-05,3,"No Detection","No recent detection"
"128","Utility3","H5",2025-06-05,3,"No Detection","No recent detection"
"129","Utility3","PanRSV",2025-06-05,3,"No Detection","No recent detection"
"130","Utility3","sars-cov-2",2025-06-05,3,"Detection","Detection"
"131","Utility5","FLUAV",2025-06-05,3,"No Detection","No recent detection"
"132","Utility5","FLUBV",2025-06-05,3,"No Detection","Detection"
"133","Utility5","H5",2025-06-05,3,"No Detection","No recent detection"
"134","Utility5","PanRSV",2025-06-05,3,"No Detection","No recent detection"
"135","Utility5","sars-cov-2",2025-06-05,3,"Detection","Persistent detection"
"136","Utility4","FLUAV",2025-06-04,3,"No Detection","No recent detection"
"137","Utility4","FLUBV",2025-06-04,3,"No Detection","No recent detection"
"138","Utility4","H5",2025-06-04,3,"No Detection","No recent detection"
"139","Utility4","PanRSV",2025-06-04,3,"No Detection","No recent detection"
"140","Utility4","sars-cov-2",2025-06-04,3,"No Detection","No recent detection"
"141","Utility1","FLUAV",2025-06-02,3,"No Detection","No recent detection"
"142","Utility1","FLUBV",2025-06-02,3,"No Detection","No recent detection"
"143","Utility1","H5",2025-06-02,3,"No Detection","No recent detection"
"144","Utility1","PanRSV",2025-06-02,3,"No Detection","No recent detection"
"145","Utility1","sars-cov-2",2025-06-02,3,"Detection","Persistent detection"
"146","Utility2","FLUAV",2025-06-02,3,"No Detection","No recent detection"
"147","Utility2","FLUBV",2025-06-02,3,"No Detection","No recent detection"
"148","Utility2","H5",2025-06-02,3,"No Detection","No recent detection"
"149","Utility2","PanRSV",2025-06-02,3,"No Detection","No recent detection"
"150","Utility2","sars-cov-2",2025-06-02,3,"Detection","Persistent detection"
"151","Utility3","FLUAV",2025-06-02,3,"No Detection","No recent detection"
"152","Utility3","FLUBV",2025-06-02,3,"No Detection","No recent detection"
"153","Utility3","H5",2025-06-02,3,"No Detection","No recent detection"
"154","Utility3","PanRSV",2025-06-02,3,"No Detection","No recent detection"
"155","Utility3","sars-cov-2",2025-06-02,3,"Detection","Detection"
"156","Utility4","FLUAV",2025-06-02,3,"No Detection","No recent detection"
"157","Utility4","FLUBV",2025-06-02,3,"No Detection","No recent detection"
"158","Utility4","H5",2025-06-02,3,"No Detection","No recent detection"
"159","Utility4","PanRSV",2025-06-02,3,"No Detection","No recent detection"
"160","Utility4","sars-cov-2",2025-06-02,3,"No Detection","No recent detection"
"161","Utility5","FLUAV",2025-06-02,3,"No Detection","No recent detection"
"162","Utility5","FLUBV",2025-06-02,3,"Detection","Detection"
"163","Utility5","H5",2025-06-02,3,"No Detection","No recent detection"
"164","Utility5","PanRSV",2025-06-02,3,"No Detection","No recent detection"
"165","Utility5","sars-cov-2",2025-06-02,3,"Detection","Persistent detection"
"166","Utility1","FLUAV",2025-05-29,4,"No Detection","No recent detection"
"167","Utility1","FLUBV",2025-05-29,4,"No Detection","No recent detection"
"168","Utility1","H5",2025-05-29,4,"No Detection","No recent detection"
"169","Utility1","PanRSV",2025-05-29,4,"No Detection","No recent detection"
"170","Utility1","sars-cov-2",2025-05-29,4,"Detection","Persistent detection"
"171","Utility2","FLUAV",2025-05-29,4,"No Detection","No recent detection"
"172","Utility2","FLUBV",2025-05-29,4,"No Detection","Detection"
"173","Utility2","H5",2025-05-29,4,"No Detection","No recent detection"
"174","Utility2","PanRSV",2025-05-29,4,"No Detection","No recent detection"
"175","Utility2","sars-cov-2",2025-05-29,4,"Detection","Persistent detection"
"176","Utility3","FLUAV",2025-05-29,4,"No Detection","No recent detection"
"177","Utility3","FLUBV",2025-05-29,4,"No Detection","No recent detection"
"178","Utility3","H5",2025-05-29,4,"No Detection","No recent detection"
"179","Utility3","PanRSV",2025-05-29,4,"No Detection","No recent detection"
"180","Utility3","sars-cov-2",2025-05-29,4,"Detection","Detection"
"181","Utility5","FLUAV",2025-05-29,4,"No Detection","No recent detection"
"182","Utility5","FLUBV",2025-05-29,4,"No Detection","No recent detection"
"183","Utility5","H5",2025-05-29,4,"No Detection","No recent detection"
"184","Utility5","PanRSV",2025-05-29,4,"No Detection","No recent detection"
"185","Utility5","sars-cov-2",2025-05-29,4,"Detection","Persistent detection"
"186","Utility4","FLUAV",2025-05-28,4,"No Detection","No recent detection"
"187","Utility4","FLUBV",2025-05-28,4,"No Detection","No recent detection"
"188","Utility4","H5",2025-05-28,4,"No Detection","No recent detection"
"189","Utility4","PanRSV",2025-05-28,4,"No Detection","No recent detection"
"190","Utility4","sars-cov-2",2025-05-28,4,"No Detection","No recent detection"
"191","Utility1","FLUAV",2025-05-27,4,"No Detection","No recent detection"
"192","Utility1","FLUBV",2025-05-27,4,"No Detection","No recent detection"
"193","Utility1","H5",2025-05-27,4,"No Detection","No recent detection"
"194","Utility1","PanRSV",2025-05-27,4,"No Detection","No recent detection"
"195","Utility1","sars-cov-2",2025-05-27,4,"Detection","Persistent detection"
"196","Utility2","FLUAV",2025-05-27,4,"No Detection","No recent detection"
"197","Utility2","FLUBV",2025-05-27,4,"No Detection","Detection"
"198","Utility2","H5",2025-05-27,4,"No Detection","No recent detection"
"199","Utility2","PanRSV",2025-05-27,4,"No Detection","No recent detection"
"200","Utility2","sars-cov-2",2025-05-27,4,"Detection","Persistent detection"
"201","Utility4","FLUAV",2025-05-27,4,"No Detection","No recent detection"
"202","Utility4","FLUBV",2025-05-27,4,"No Detection","No recent detection"
"203","Utility4","H5",2025-05-27,4,"No Detection","No recent detection"
"204","Utility4","PanRSV",2025-05-27,4,"No Detection","No recent detection"
"205","Utility4","sars-cov-2",2025-05-27,4,"No Detection","No recent detection"
"206","Utility5","FLUAV",2025-05-27,4,"No Detection","No recent detection"
"207","Utility5","FLUBV",2025-05-27,4,"No Detection","No recent detection"
"208","Utility5","H5",2025-05-27,4,"No Detection","No recent detection"
"209","Utility5","PanRSV",2025-05-27,4,"No Detection","No recent detection"
"210","Utility5","sars-cov-2",2025-05-27,4,"No Detection","Persistent detection"
"211","Utility1","FLUAV",2025-05-22,5,"No Detection","No recent detection"
"212","Utility1","FLUBV",2025-05-22,5,"No Detection","No recent detection"
"213","Utility1","H5",2025-05-22,5,"No Detection","No recent detection"
"214","Utility1","PanRSV",2025-05-22,5,"No Detection","No recent detection"
"215","Utility1","sars-cov-2",2025-05-22,5,"Detection","Detection"
"216","Utility2","FLUAV",2025-05-22,5,"No Detection","No recent detection"
"217","Utility2","FLUBV",2025-05-22,5,"No Detection","Detection"
"218","Utility2","H5",2025-05-22,5,"No Detection","No recent detection"
"219","Utility2","PanRSV",2025-05-22,5,"No Detection","No recent detection"
"220","Utility2","sars-cov-2",2025-05-22,5,"Detection","Persistent detection"
"221","Utility3","FLUAV",2025-05-22,5,"No Detection","No recent detection"
"222","Utility3","FLUBV",2025-05-22,5,"No Detection","No recent detection"
"223","Utility3","H5",2025-05-22,5,"No Detection","No recent detection"
"224","Utility3","PanRSV",2025-05-22,5,"No Detection","No recent detection"
"225","Utility3","sars-cov-2",2025-05-22,5,"No Detection","Detection"
"226","Utility5","FLUAV",2025-05-22,5,"No Detection","No recent detection"
"227","Utility5","FLUBV",2025-05-22,5,"No Detection","No recent detection"
"228","Utility5","H5",2025-05-22,5,"No Detection","No recent detection"
"229","Utility5","PanRSV",2025-05-22,5,"No Detection","No recent detection"
"230","Utility5","sars-cov-2",2025-05-22,5,"Detection","Persistent detection"
"231","Utility4","FLUAV",2025-05-21,5,"No Detection","No recent detection"
"232","Utility4","FLUBV",2025-05-21,5,"No Detection","No recent detection"
"233","Utility4","H5",2025-05-21,5,"No Detection","No recent detection"
"234","Utility4","PanRSV",2025-05-21,5,"No Detection","No recent detection"
"235","Utility4","sars-cov-2",2025-05-21,5,"No Detection","No recent detection"
"236","Utility1","FLUAV",2025-05-19,5,"No Detection","No recent detection"
"237","Utility1","FLUBV",2025-05-19,5,"No Detection","No recent detection"
"238","Utility1","H5",2025-05-19,5,"No Detection","No recent detection"
"239","Utility1","PanRSV",2025-05-19,5,"No Detection","No recent detection"
"240","Utility1","sars-cov-2",2025-05-19,5,"No Detection","Detection"
"241","Utility2","FLUAV",2025-05-19,5,"No Detection","No recent detection"
"242","Utility2","FLUBV",2025-05-19,5,"Detection","Detection"
"243","Utility2","H5",2025-05-19,5,"No Detection","No recent detection"
"244","Utility2","PanRSV",2025-05-19,5,"No Detection","No recent detection"
"245","Utility2","sars-cov-2",2025-05-19,5,"Detection","Persistent detection"
"246","Utility3","FLUAV",2025-05-19,5,"No Detection","No recent detection"
"247","Utility3","FLUBV",2025-05-19,5,"No Detection","No recent detection"
"248","Utility3","H5",2025-05-19,5,"No Detection","No recent detection"
"249","Utility3","PanRSV",2025-05-19,5,"No Detection","No recent detection"
"250","Utility3","sars-cov-2",2025-05-19,5,"Detection","Detection"
"251","Utility4","FLUAV",2025-05-19,5,"No Detection","No recent detection"
"252","Utility4","FLUBV",2025-05-19,5,"No Detection","No recent detection"
"253","Utility4","H5",2025-05-19,5,"No Detection","No recent detection"
"254","Utility4","PanRSV",2025-05-19,5,"No Detection","No recent detection"
"255","Utility4","sars-cov-2",2025-05-19,5,"No Detection","No recent detection"
"256","Utility5","FLUAV",2025-05-19,5,"No Detection","No recent detection"
"257","Utility5","FLUBV",2025-05-19,5,"No Detection","No recent detection"
"258","Utility5","H5",2025-05-19,5,"No Detection","No recent detection"
"259","Utility5","PanRSV",2025-05-19,5,"No Detection","No recent detection"
"260","Utility5","sars-cov-2",2025-05-19,5,"Detection","Persistent detection"
"261","Utility1","FLUAV",2025-05-15,6,"No Detection","No recent detection"
"262","Utility1","FLUBV",2025-05-15,6,"No Detection","No recent detection"
"263","Utility1","H1",2025-05-15,6,"No Detection","No recent detection"
"264","Utility1","H3",2025-05-15,6,"No Detection","No recent detection"
"265","Utility1","H5",2025-05-15,6,"No Detection","No recent detection"
"266","Utility1","PanRSV",2025-05-15,6,"No Detection","No recent detection"
"267","Utility1","sars-cov-2",2025-05-15,6,"Detection","Detection"
"268","Utility2","FLUAV",2025-05-15,6,"No Detection","No recent detection"
"269","Utility2","FLUBV",2025-05-15,6,"No Detection","Persistent detection"
"270","Utility2","H1",2025-05-15,6,"No Detection","No recent detection"
"271","Utility2","H3",2025-05-15,6,"No Detection","No recent detection"
"272","Utility2","H5",2025-05-15,6,"No Detection","No recent detection"
"273","Utility2","PanRSV",2025-05-15,6,"No Detection","No recent detection"
"274","Utility2","sars-cov-2",2025-05-15,6,"Detection","Persistent detection"
"275","Utility3","FLUAV",2025-05-15,6,"No Detection","No recent detection"
"276","Utility3","FLUBV",2025-05-15,6,"No Detection","No recent detection"
"277","Utility3","H1",2025-05-15,6,"No Detection","No recent detection"
"278","Utility3","H3",2025-05-15,6,"No Detection","No recent detection"
"279","Utility3","H5",2025-05-15,6,"No Detection","No recent detection"
"280","Utility3","PanRSV",2025-05-15,6,"No Detection","No recent detection"
"281","Utility3","sars-cov-2",2025-05-15,6,"No Detection","Detection"
"282","Utility5","FLUAV",2025-05-15,6,"No Detection","Detection"
"283","Utility5","FLUBV",2025-05-15,6,"No Detection","No recent detection"
"284","Utility5","H1",2025-05-15,6,"No Detection","No recent detection"
"285","Utility5","H3",2025-05-15,6,"No Detection","No recent detection"
"286","Utility5","H5",2025-05-15,6,"No Detection","No recent detection"
"287","Utility5","PanRSV",2025-05-15,6,"No Detection","No recent detection"
"288","Utility5","sars-cov-2",2025-05-15,6,"Detection","Persistent detection"
"289","Utility4","FLUAV",2025-05-14,6,"No Detection","No recent detection"
"290","Utility4","FLUBV",2025-05-14,6,"No Detection","No recent detection"
"291","Utility4","H1",2025-05-14,6,"No Detection","No recent detection"
"292","Utility4","H3",2025-05-14,6,"No Detection","No recent detection"
"293","Utility4","H5",2025-05-14,6,"No Detection","No recent detection"
"294","Utility4","PanRSV",2025-05-14,6,"No Detection","No recent detection"
"295","Utility4","sars-cov-2",2025-05-14,6,"No Detection","No recent detection"
"296","Utility1","FLUAV",2025-05-12,6,"No Detection","No recent detection"
"297","Utility1","FLUBV",2025-05-12,6,"No Detection","No recent detection"
"298","Utility1","H1",2025-05-12,6,"No Detection","No recent detection"
"299","Utility1","H3",2025-05-12,6,"No Detection","No recent detection"
"300","Utility1","H5",2025-05-12,6,"No Detection","No recent detection"
"301","Utility1","PanRSV",2025-05-12,6,"No Detection","No recent detection"
"302","Utility1","sars-cov-2",2025-05-12,6,"Detection","Detection"
"303","Utility2","FLUAV",2025-05-12,6,"No Detection","No recent detection"
"304","Utility2","FLUBV",2025-05-12,6,"Detection","Persistent detection"
"305","Utility2","H1",2025-05-12,6,"No Detection","No recent detection"
"306","Utility2","H3",2025-05-12,6,"No Detection","No recent detection"
"307","Utility2","H5",2025-05-12,6,"No Detection","No recent detection"
"308","Utility2","PanRSV",2025-05-12,6,"No Detection","No recent detection"
"309","Utility2","sars-cov-2",2025-05-12,6,"Detection","Persistent detection"
"310","Utility3","FLUAV",2025-05-12,6,"No Detection","No recent detection"
"311","Utility3","FLUBV",2025-05-12,6,"No Detection","No recent detection"
"312","Utility3","H1",2025-05-12,6,"No Detection","No recent detection"
"313","Utility3","H3",2025-05-12,6,"No Detection","No recent detection"
"314","Utility3","H5",2025-05-12,6,"No Detection","No recent detection"
"315","Utility3","PanRSV",2025-05-12,6,"No Detection","No recent detection"
"316","Utility3","sars-cov-2",2025-05-12,6,"Detection","Detection"
"317","Utility4","FLUAV",2025-05-12,6,"No Detection","No recent detection"
"318","Utility4","FLUBV",2025-05-12,6,"No Detection","No recent detection"
"319","Utility4","H1",2025-05-12,6,"No Detection","No recent detection"
"320","Utility4","H3",2025-05-12,6,"No Detection","No recent detection"
"321","Utility4","H5",2025-05-12,6,"No Detection","No recent detection"
"322","Utility4","PanRSV",2025-05-12,6,"No Detection","No recent detection"
"323","Utility4","sars-cov-2",2025-05-12,6,"No Detection","No recent detection"
"324","Utility5","FLUAV",2025-05-12,6,"No Detection","Detection"
"325","Utility5","FLUBV",2025-05-12,6,"No Detection","No recent detection"
"326","Utility5","H1",2025-05-12,6,"No Detection","No recent detection"
"327","Utility5","H3",2025-05-12,6,"No Detection","No recent detection"
"328","Utility5","H5",2025-05-12,6,"No Detection","No recent detection"
"329","Utility5","PanRSV",2025-05-12,6,"No Detection","No recent detection"
"330","Utility5","sars-cov-2",2025-05-12,6,"Detection","Persistent detection"
"331","Utility1","FLUAV",2025-05-08,7,"No Detection","No recent detection"
"332","Utility1","FLUBV",2025-05-08,7,"No Detection","No recent detection"
"333","Utility1","H1",2025-05-08,7,"No Detection","No recent detection"
"334","Utility1","H3",2025-05-08,7,"No Detection","No recent detection"
"335","Utility1","H5",2025-05-08,7,"No Detection","No recent detection"
"336","Utility1","PanRSV",2025-05-08,7,"No Detection","No recent detection"
"337","Utility1","sars-cov-2",2025-05-08,7,"Detection","Detection"
"338","Utility2","FLUAV",2025-05-08,7,"No Detection","Detection"
"339","Utility2","FLUBV",2025-05-08,7,"Detection","Persistent detection"
"340","Utility2","H1",2025-05-08,7,"No Detection","No recent detection"
"341","Utility2","H3",2025-05-08,7,"No Detection","No recent detection"
"342","Utility2","H5",2025-05-08,7,"No Detection","No recent detection"
"343","Utility2","PanRSV",2025-05-08,7,"No Detection","No recent detection"
"344","Utility2","sars-cov-2",2025-05-08,7,"Detection","Persistent detection"
"345","Utility3","FLUAV",2025-05-08,7,"No Detection","No recent detection"
"346","Utility3","FLUBV",2025-05-08,7,"No Detection","Detection"
"347","Utility3","H1",2025-05-08,7,"No Detection","No recent detection"
"348","Utility3","H3",2025-05-08,7,"No Detection","No recent detection"
"349","Utility3","H5",2025-05-08,7,"No Detection","No recent detection"
"350","Utility3","PanRSV",2025-05-08,7,"No Detection","No recent detection"
"351","Utility3","sars-cov-2",2025-05-08,7,"No Detection","Detection"
"352","Utility5","FLUAV",2025-05-08,7,"Detection","Detection"
"353","Utility5","FLUBV",2025-05-08,7,"No Detection","No recent detection"
"354","Utility5","H1",2025-05-08,7,"No Detection","No recent detection"
"355","Utility5","H3",2025-05-08,7,"No Detection","No recent detection"
"356","Utility5","H5",2025-05-08,7,"No Detection","No recent detection"
"357","Utility5","PanRSV",2025-05-08,7,"No Detection","Detection"
"358","Utility5","sars-cov-2",2025-05-08,7,"Detection","Persistent detection"
"359","Utility4","FLUAV",2025-05-07,7,"No Detection","No recent detection"
"360","Utility4","FLUBV",2025-05-07,7,"No Detection","Detection"
"361","Utility4","H1",2025-05-07,7,"No Detection","No recent detection"
"362","Utility4","H3",2025-05-07,7,"No Detection","No recent detection"
"363","Utility4","H5",2025-05-07,7,"No Detection","No recent detection"
"364","Utility4","PanRSV",2025-05-07,7,"No Detection","No recent detection"
"365","Utility4","sars-cov-2",2025-05-07,7,"No Detection","Detection"
"366","Utility1","FLUAV",2025-05-05,7,"No Detection","No recent detection"
"367","Utility1","FLUBV",2025-05-05,7,"No Detection","No recent detection"
"368","Utility1","H1",2025-05-05,7,"No Detection","No recent detection"
"369","Utility1","H3",2025-05-05,7,"No Detection","No recent detection"
"370","Utility1","H5",2025-05-05,7,"No Detection","No recent detection"
"371","Utility1","PanRSV",2025-05-05,7,"No Detection","No recent detection"
"372","Utility1","sars-cov-2",2025-05-05,7,"Detection","Detection"
"373","Utility2","FLUAV",2025-05-05,7,"No Detection","Detection"
"374","Utility2","FLUBV",2025-05-05,7,"Detection","Persistent detection"
"375","Utility2","H1",2025-05-05,7,"No Detection","No recent detection"
"376","Utility2","H3",2025-05-05,7,"No Detection","No recent detection"
"377","Utility2","H5",2025-05-05,7,"No Detection","No recent detection"
"378","Utility2","PanRSV",2025-05-05,7,"No Detection","No recent detection"
"379","Utility2","sars-cov-2",2025-05-05,7,"Detection","Persistent detection"
"380","Utility3","FLUAV",2025-05-05,7,"No Detection","No recent detection"
"381","Utility3","FLUBV",2025-05-05,7,"No Detection","Detection"
"382","Utility3","H1",2025-05-05,7,"No Detection","No recent detection"
"383","Utility3","H3",2025-05-05,7,"No Detection","No recent detection"
"384","Utility3","H5",2025-05-05,7,"No Detection","No recent detection"
"385","Utility3","PanRSV",2025-05-05,7,"No Detection","No recent detection"
"386","Utility3","sars-cov-2",2025-05-05,7,"Detection","Detection"
"387","Utility1","FLUAV",2025-05-01,8,"No Detection","No recent detection"
"388","Utility1","FLUBV",2025-05-01,8,"No Detection","No recent detection"
"389","Utility1","H1",2025-05-01,8,"No Detection","No recent detection"
"390","Utility1","H3",2025-05-01,8,"No Detection","No recent detection"
"391","Utility1","H5",2025-05-01,8,"No Detection","No recent detection"
"392","Utility1","PanRSV",2025-05-01,8,"No Detection","Detection"
"393","Utility1","sars-cov-2",2025-05-01,8,"Detection","Detection"
"394","Utility2","FLUAV",2025-05-01,8,"Detection","Detection"
"395","Utility2","FLUBV",2025-05-01,8,"Detection","Detection"
